snapshot_time,sport_key,event_id,event_name,commence_time,market,outcome_name,target_bookmaker,target_odds,target_effective_odds,reference_fair_odds,edge,reference_bookmakers,matchbook_event_id,matchbook_market_id,matchbook_runner_id,best_back_odds,best_back_available,available_at_or_above_target,best_lay_odds,best_lay_available,back_lay_spread_pct,liquidity_status
2026-08-13T16:04:12.101143+00:00,soccer_efl_champ,04cd3d29e95a89f25a34447296856443,Middlesbrough v Lincoln City,2026-08-15T14:00:00+00:00,h2h,Lincoln City,Matchbook,10.5,10.3100,9.5616,0.0783,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, GTbets, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",33643831113900045,33643831185600045,33643831186700045,10.5,46.06,46.06,11,4.00,0.0465,available
2026-08-13T16:04:12.101143+00:00,basketball_wnba,9a2fa5d20edb2bc7e2ce1298cb3d5348,Connecticut Sun v Atlanta Dream,2026-08-13T23:00:00+00:00,h2h,Connecticut Sun,Matchbook,5.3,5.2140,4.8564,0.0736,"888sport, Bet Victor, BetAnything, BetOnline.ag, Betano (UK), Betfair, Betsson, Betway, BoyleSports, Coolbet, GTbets, LeoVegas, LeoVegas (SE), MyBookie.ag, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Unibet (NL), Unibet (SE), Unibet (UK)",,,,,0.00,0.00,,0.00,,not_matched
2026-08-13T16:04:12.101143+00:00,basketball_wnba,adc6dd060846838773f87fb71bbbad5d,New York Liberty v Los Angeles Sparks,2026-08-14T00:00:00+00:00,h2h,Los Angeles Sparks,Matchbook,4.3,4.2340,4.0176,0.0539,"1xBet, 888sport, Bet Victor, BetAnything, BetOnline.ag, Betano (UK), Betfair, Betsson, Betway, BoyleSports, Coolbet, GTbets, LeoVegas, LeoVegas (SE), MyBookie.ag, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Unibet (NL), Unibet (SE), Unibet (UK)",,,,,0.00,0.00,,0.00,,not_matched
2026-08-13T16:04:12.101143+00:00,soccer_england_league2,66127503f173b1e6465942fcecab886f,Grimsby Town v Exeter City,2026-08-15T14:00:00+00:00,h2h,Exeter City,Matchbook,4.8,4.7240,4.5763,0.0323,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betfair, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill",33684111079000045,33684133502900045,33684133503900045,4.8,5.00,5.00,4.9,4.00,0.0206,available
2026-08-13T16:04:12.101143+00:00,soccer_brazil_serie_b,79c95991840b6a00bd50b9690ab10ce6,Sport Recife v Londrina,2026-08-14T23:30:00+00:00,h2h,Londrina,Matchbook,5.8,5.7040,5.5363,0.0303,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, Paddy Power, Pinnacle, Smarkets, Tipico, Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill",34044502084100023,34044502088201023,34044502089301023,5.8,7.99,7.99,6.6,2.00,0.1290,available
2026-08-13T16:04:12.101143+00:00,soccer_england_league1,686c758175d584228d6a8cc8ed939a3b,Huddersfield Town v Wimbledon,2026-08-15T14:00:00+00:00,h2h,Wimbledon,Matchbook,5.7,5.6060,5.4479,0.0290,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betfair, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill",33684095097900045,33684095101700045,33684095102600045,5.7,5.00,5.00,6.6,160.05,0.1463,available
2026-08-13T16:04:12.101143+00:00,soccer_finland_veikkausliiga,02b111014da2ac0a7f4a6ae59f732e80,VPS Vaasa v TPS Turku,2026-08-14T15:00:00+00:00,h2h,TPS Turku,Matchbook,5.3,5.2140,5.0722,0.0279,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Coolbet, Coral, GTbets, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill",,,,,0.00,0.00,,0.00,,not_matched
2026-08-13T16:04:12.101143+00:00,soccer_portugal_primeira_liga,3b2084eb6f80e2cd731d5b1fd0491cf4,Sporting Lisbon v Vitória SC,2026-08-14T19:15:00+00:00,h2h,Draw,Matchbook,6.8,6.6840,6.5240,0.0245,"888sport, Bet Victor, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",34026159218800023,34026159225300023,34026159226301023,6.8,36.61,36.61,7,3.00,0.0290,available
2026-08-13T16:04:12.101143+00:00,soccer_efl_champ,2b50ce61e415a3b3bd3f10ac39d0dbe3,Wolverhampton Wanderers v Blackburn Rovers,2026-08-14T19:00:00+00:00,h2h,Blackburn Rovers,Matchbook,6.6,6.4880,6.3857,0.0160,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, GTbets, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",33646471894000045,33646527300900045,33646527301800045,6.6,4.00,4.00,7,6.00,0.0588,available
2026-08-13T16:04:12.101143+00:00,soccer_france_ligue_two,148f84dfba346922a44c6840af862a43,Saint Etienne v Clermont,2026-08-14T18:45:00+00:00,h2h,Clermont,Matchbook,6.0,5.9000,5.8226,0.0133,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Suprabets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",34025995446800023,34025995568900023,34025995569701023,6,4.00,4.00,7.2,4.00,0.1818,available
2026-08-13T16:04:12.101143+00:00,tennis_atp_canadian_open,e723dde12617d39b432ea4de1747708f,Ben Shelton v Brandon Nakashima,2026-08-14T00:00:00+00:00,h2h,Brandon Nakashima,Matchbook,3.05,3.0090,2.9751,0.0114,"1xBet, 888sport, Bet Victor, BetAnything, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Coolbet, Coral, GTbets, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",34062965761700023,34062965766200023,34062965767600023,3.05,393.01,393.01,3.15,198.40,0.0323,available
2026-08-13T16:04:12.101143+00:00,soccer_france_ligue_two,e5f2e8a5b285f7736906de9a5cca28cf,Guingamp v Boulogne,2026-08-14T18:45:00+00:00,h2h,Boulogne,Matchbook,5.0,4.9200,4.8768,0.0089,"888sport, Bet Victor, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Suprabets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",34025997462000023,34025998684700023,34025998686801023,5,5.99,5.99,5.8,2.95,0.1481,available
2026-08-13T16:04:12.101143+00:00,soccer_england_league1,79f656b6298e5f6003ab9a8bc6c28428,Barnsley v Bromley FC,2026-08-15T14:00:00+00:00,h2h,Barnsley,Matchbook,2.3,2.2740,2.2554,0.0083,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill",33684059172900045,33684059177100045,33684059177500045,2.3,5.00,5.00,2.36,2.99,0.0258,available
2026-08-13T16:04:12.101143+00:00,soccer_germany_bundesliga2,4e2c617f95b90ec2b546f0d268af2907,VfL Osnabrück v 1. FC Magdeburg,2026-08-15T11:00:00+00:00,h2h,Draw,Matchbook,4.0,3.9400,3.9084,0.0081,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betfred (UK), Betsson, Casumo, Codere (IT), Coolbet, Coral, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Smarkets, Suprabets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",34038953639800023,34038953953700023,34038953955001023,4,28.96,28.96,4.2,19.97,0.0488,available
2026-08-13T16:04:12.101143+00:00,soccer_sweden_allsvenskan,6bf2a0cde15cd3833ac0ec0aeb87286c,IF Elfsborg v Västerås SK,2026-08-14T17:00:00+00:00,h2h,Västerås SK,Matchbook,4.4,4.3320,4.2995,0.0076,"1xBet, 888sport, Bet Victor, BetAnything, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betfair Sportsbook, Betfred (UK), Betsson, Betway, BoyleSports, Casumo, Coolbet, Coral, GTbets, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Nordic Bet, PMU (FR), Paddy Power, Pinnacle, Sky Bet, Smarkets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, William Hill, Winamax (DE), Winamax (FR)",34025822315300023,34025823015900023,34025823016901023,4.4,3.92,3.92,4.5,15.99,0.0225,available
2026-08-13T16:04:12.101143+00:00,baseball_mlb,7d03df008d15f138b3726ef4b85c983f,Chicago White Sox v Cincinnati Reds,2026-08-13T17:11:00+00:00,h2h,Cincinnati Reds,Matchbook,2.26,2.2348,2.2209,0.0063,"1xBet, 888sport, Bet Victor, BetOnline.ag, Betano (UK), Betclic (FR), Betfair, Betsson, Betway, BoyleSports, Casumo, Coolbet, Coral, GTbets, Grosvenor, Ladbrokes, LeoVegas, LeoVegas (SE), LiveScore Bet, Marathon Bet, MyBookie.ag, Nordic Bet, Paddy Power, Pinnacle, Smarkets, Tipico, Unibet (FR), Unibet (NL), Unibet (SE), Unibet (UK), Virgin Bet, Winamax (DE), Winamax (FR)",,,,,0.00,0.00,,0.00,,not_matched
